,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0,0.06,1.1974457e-14,-6.057837e-15,1.9823394,1.21455495e-08,2.3531845e-08,0.0,1.1974398e-12,-6.0578213e-13,-0.58878803,6.139958e-07,1.1397881e-06,0.0,0.013388636,-0.2951511,-0.038324483,0.21318863
1,0.12,2.032388e-12,-9.850182e-13,1.9293096,3.3285012e-08,1.1066671e-07,0.0,1.0831388e-10,-4.8961515e-11,-1.1792724,-1.1948246e-07,2.0229895e-06,0.0,0.043858822,-0.2914897,-0.26643765,-0.008090445
2,0.18,2.909541e-11,-8.548661e-12,1.8407475,2.1213488e-08,2.3139293e-07,0.0,1.0030072e-09,-2.160964e-10,-1.7735087,-3.0028423e-07,1.969687e-06,0.0,0.073391624,-0.16586192,-0.21566439,-0.037720826
3,0.24,1.7005812e-10,-2.6704836e-11,1.716365,6.2831855,3.4946947e-07,0.0,4.17569e-09,-3.5857428e-10,-2.3736012,-8.9901516e-07,1.9593967e-06,0.0,0.033433765,-0.22490853,-0.38787898,0.17185664
4,0.3,6.242789e-10,-3.618612e-11,1.5557457,6.2831855,4.5014963e-07,0.0,1.1807129e-08,2.334893e-10,-2.981733,-7.6350136e-07,9.977098e-07,0.0,0.29296544,-0.3524899,0.0039925436,0.0994321
5,0.36,1.7210958e-09,3.8298333e-11,1.358339,6.283185,4.4712266e-07,0.0,2.5667577e-08,2.5900657e-09,-3.6001987,-8.7880073e-07,-2.2562256e-06,0.0,0.49779254,-0.4118547,0.22299977,0.20329908
6,0.42,3.768001e-09,3.4036887e-10,1.1234523,6.283185,2.405585e-07,0.0,4.229344e-08,8.05208e-09,-4.231439,-5.051842e-07,-5.8158607e-06,0.0,0.50919867,-0.3135869,0.0896429,0.18774988
7,0.48,6.5842265e-09,1.0872461e-09,0.8502412,6.283185,6.283185,0.0,4.8516878e-08,1.7155417e-08,-4.878083,3.319485e-06,-9.731225e-06,0.0,0.53403604,-0.52494454,-0.0425091,0.52781457
8,0.54,8.826782e-09,2.2604223e-09,0.53769684,1.9070447e-07,6.2831845,0.0,1.8409619e-08,1.9203402e-08,-5.542993,8.35726e-06,-1.0561265e-05,0.0,0.24588631,-0.3727209,0.004480432,0.6057812
9,0.6,7.3380484e-09,2.5895015e-09,0.18463011,7.1711304e-07,6.2831836,0.0,-8.140481e-08,-1.6918078e-08,-6.2293186,9.605895e-06,-1.5517535e-05,0.0,0.6008444,-0.08889778,-0.0812835,0.30157974
10,0.66,-3.6163863e-09,-1.3845665e-09,0.0,1.3069837e-06,6.2831826,0.0,-3.0835005e-07,-1.2977007e-07,-6.940561,1.0281738e-05,-1.7644676e-05,0.0,0.39362794,0.0014441485,-0.08814373,0.22187473
