,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0,0.06,2.9036405e-08,0.008250255,9.992201,5.346753,6.283173,0.0,2.9341866e-06,0.16370009,-1.2159652,-21.164621,-0.0006151169,0.0,-448.72293,-448.673,1349.8662,438.95923
1,0.12,2.2236327e-06,0.0024924546,9.967225,2.1523206,6.2831526,0.0,8.5741754e-05,1.1078018,-0.0966071,-16.175812,0.00019361787,0.0,-448.80588,-448.8715,1349.7319,1349.4308
2,0.18,8.380016e-06,0.14665352,9.870412,2.7943542,0.00036730582,0.0,-4.00114e-06,3.3667874,-3.4114482,-13.150871,0.01720811,0.0,-447.47134,-448.8541,1349.707,1349.3231
3,0.24,-5.111092e-05,0.3883354,9.549607,2.5387833,0.0014329529,0.0,-0.002509843,4.7828364,-7.2157297,-11.433047,0.01884367,0.0,-448.59244,-448.72556,1349.7118,1339.5336
4,0.3,-0.00036321455,0.7401417,9.026528,1.8521512,0.0025569242,0.0,-0.008411985,7.1585994,-9.959884,-11.511217,0.018510338,0.0,-448.3353,-448.3086,1349.6864,1299.493
5,0.36,-0.0011391245,1.2657722,8.399671,1.1645875,0.0035970914,0.0,-0.018053459,10.392773,-10.578629,-11.725334,0.01487812,0.0,-448.45374,-448.159,1349.5952,1294.4846
6,0.42,-0.002606638,1.973539,7.8038664,0.57084084,0.004551832,0.0,-0.031397037,13.023008,-9.036135,-12.599916,0.0179042,0.0,-448.26117,-448.50723,1349.5946,1271.6344
7,0.48,-0.0049608992,2.8078008,7.3276997,0.8179242,0.005617055,0.0,-0.04750126,14.938797,-6.9665794,-15.105413,0.01745281,0.0,-448.46298,-448.42682,1349.7855,1209.0497
8,0.54,-0.00839222,3.7565548,6.975492,6.250078,0.006673966,0.0,-0.067540616,16.312128,-4.5731134,-15.745769,0.017936222,0.0,-448.6404,-448.68015,1349.8978,1243.7549
9,0.6,-0.013186539,4.7343783,6.790765,0.3785779,0.007729432,0.0,-0.0929141,16.577177,-1.5891368,-12.976075,0.016893504,0.0,-448.88397,-448.79996,1349.9546,1346.2467
10,0.66,-0.019588452,5.742663,6.780176,5.8984985,0.008697753,0.0,-0.12109356,16.63365,1.256172,-12.7313595,0.014583381,0.0,-449.18414,-448.9972,1349.6522,1295.396
11,0.72,-0.027809395,6.690956,6.9338837,5.815411,0.009663444,0.0,-0.15351292,14.960056,3.8688552,-10.781921,0.018957807,0.0,-448.9414,-449.29688,1349.4651,1349.7279
12,0.78,-0.03809356,7.5276995,7.238346,5.5453796,0.01104207,0.0,-0.18995698,12.829434,6.2022433,-9.344828,0.029997736,0.0,-448.60083,-449.49753,1349.003,1349.6594
13,0.84,-0.050720606,8.215489,7.6628146,5.2132025,0.012998194,0.0,-0.23190528,9.999833,7.8141,-8.2379265,0.037357397,0.0,-448.62753,-449.22665,1348.7698,1349.6606
14,0.9,-0.06607667,8.716535,8.154502,4.8634553,0.015492643,0.0,-0.2812019,6.6458936,8.409961,-7.368967,0.048894748,0.0,-448.41614,-449.35535,1348.8978,1349.6068
15,0.96,-0.08467163,9.0086565,8.647497,4.5190177,0.018446328,0.0,-0.3402407,3.0877979,7.848103,-6.664324,0.049886167,0.0,-448.63223,-448.71652,1349.3726,1350.0581
16,1.02,-0.10714257,9.0904,9.071668,4.1836734,0.021415474,0.0,-0.41049603,-0.31266683,6.1230555,-6.102009,0.048673123,0.0,-448.4707,-448.37598,1349.5814,1349.6416
17,1.08,-0.13417204,8.981977,9.360149,3.863047,0.024216812,0.0,-0.49212602,-3.2012472,3.3535244,-5.6385064,0.042394057,0.0,-448.88174,-448.3754,1349.5109,1349.2843
18,1.14,-0.1664077,8.723472,9.4572935,3.5523705,0.026594702,0.0,-0.58370125,-5.2766843,-0.21083167,-5.289008,0.033445045,0.0,-448.77295,-448.04813,1349.6619,1348.1797
19,1.2,-0.20436282,8.37036,9.325263,3.2451231,0.028394422,0.0,-0.6822967,-6.3322687,-4.2321954,-5.0972576,0.022007847,0.0,-449.03058,-448.10294,1349.6354,1345.077
20,1.26,-0.24835533,7.9869614,8.947773,2.940462,0.029367061,0.0,-0.7844414,-6.2836676,-8.33798,-5.0548506,0.00090824906,0.0,-449.24274,-447.5292,1349.042,1340.9525
21,1.32,-0.29849064,7.6389847,8.330258,2.6367915,0.029220538,0.0,-0.88646543,-5.163257,-12.184057,-5.077372,-0.010164157,0.0,-448.6982,-447.79858,1348.94,1339.1582
22,1.38,-0.35468227,7.387721,7.497548,2.3320246,0.028440282,0.0,-0.98617214,-3.0812523,-15.468573,-5.0837393,-0.019393634,0.0,-448.633,-447.8829,1349.1823,1339.7793
23,1.44,-0.41677263,7.2858024,6.4914107,2.0303853,0.027130904,0.0,-1.0830274,-0.21873216,-17.930103,-4.9902635,-0.027186718,0.0,-448.3798,-447.74582,1348.9779,1342.3877
24,1.5,-0.48457792,7.3724294,5.3673277,1.7416975,0.025384607,0.0,-1.1765456,3.1570244,-19.380882,-4.791022,-0.033246357,0.0,-448.39044,-447.89706,1349.1854,1345.9275
25,1.56,-0.55786467,7.66852,4.1885643,1.4704689,0.02323043,0.0,-1.265531,6.7135935,-19.753328,-4.5347238,-0.04182799,0.0,-448.6984,-447.99988,1349.302,1348.3427
26,1.62,-0.63630253,8.175004,3.0185277,1.2141753,0.020590385,0.0,-1.3479117,10.126612,-19.105856,-4.282536,-0.048742827,0.0,-448.70477,-448.14105,1349.113,1348.8788
27,1.68,-0.719427,8.875125,1.9143398,0.97071755,0.01749072,0.0,-1.4214242,13.13522,-17.584646,-4.053013,-0.05824748,0.0,-448.6967,-447.9216,1348.9844,1348.8951
28,1.74,-0.8066339,9.738793,0.9226326,0.73920906,0.0138033135,0.0,-1.4836042,15.5577,-15.387906,-3.842734,-0.06879171,0.0,-448.8094,-447.94827,1348.5386,1348.5469
29,1.8,-0.8971612,10.727306,0.07737196,0.51311415,0.009486216,0.0,-1.5317222,17.285458,-12.733506,-3.729177,-0.07916231,0.0,-448.8202,-447.97043,1347.5603,1345.4037
