,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0,0.06,-0.0012562476,0.0019884198,9.993075,1.0575575,0.56833553,0.0,-0.07429764,0.11612898,-0.25535393,2.4593763,-1.9078109,0.0,-425.4134,-203.32996,-96.22081,435.31638
1,0.12,-0.012896508,0.015457335,9.963129,1.722366,1.6427644,0.0,-0.34740403,0.29438785,-0.773734,4.1605935,-4.6397567,0.0,-478.03735,-145.32948,-60.124336,369.77026
2,0.18,-0.04218318,0.0298558,9.900068,2.0956802,3.1573687,0.0,-0.5843791,0.12904443,-1.3029734,4.9622126,-7.9791985,0.0,-528.7563,-52.28926,42.454254,281.77438
3,0.24,-0.07539311,0.03008422,9.809169,2.3929927,3.9476852,0.0,-0.48257992,-0.102685235,-1.7249705,4.864601,-10.796023,0.0,-536.6185,60.33492,147.09135,195.4032
4,0.3,-0.09732939,0.019651687,9.693455,2.765502,3.7435017,0.0,-0.2537131,-0.23650642,-2.121151,4.1051235,-12.486274,0.0,-522.4087,151.06458,233.7557,141.45702
5,0.36,-0.10733899,0.0028594441,9.557275,3.164023,3.201468,0.0,-0.10432064,-0.30701533,-2.4042454,3.0865552,-13.661708,0.0,-530.11066,180.93968,274.1857,121.735756
6,0.42,-0.11392261,-0.014559289,9.406583,3.503885,2.6359658,0.0,-0.14364327,-0.25473768,-2.6246486,2.060526,-14.95563,0.0,-564.1858,170.71371,282.883,112.57233
7,0.48,-0.12939137,-0.025680011,9.24094,3.7670722,2.066529,0.0,-0.39700383,-0.11135559,-2.9184172,1.0829226,-16.414627,0.0,-602.3011,149.45193,281.95444,106.20605
8,0.54,-0.1655927,-0.028970877,9.052427,3.9525845,1.4130757,0.0,-0.8221593,-0.01821889,-3.39672,0.1700998,-17.879343,0.0,-634.5166,124.327126,276.80566,103.81477
9,0.6,-0.22827001,-0.032642238,8.828324,4.0548916,0.62155116,0.0,-1.245413,-0.13970563,-4.1020637,-0.6357524,-19.232256,0.0,-660.5668,90.84222,265.5638,108.502754
10,0.66,-0.30912334,-0.05040564,8.556821,4.0659347,5.9608583,0.0,-1.3929563,-0.46716526,-4.9588494,-1.242634,-20.40939,0.0,-681.9202,43.557068,244.65497,122.163124
11,0.72,-0.386006,-0.08834355,8.233276,3.9936628,4.9173646,0.0,-1.1111667,-0.76524246,-5.805995,-1.4348731,-21.505894,0.0,-721.87744,135.9787,153.35942,-88.51796
12,0.78,-0.43712446,-0.14049181,7.86432,5.342851,5.4840374,0.0,-0.6261985,-1.0424309,-6.4593577,-4.430452,-18.276615,0.0,-539.869,353.19128,478.21765,-63.19494
13,0.84,-0.45790914,-0.21272446,7.4672213,0.010627309,4.6954703,0.0,-0.027556654,-1.2843465,-6.784519,-7.1928377,-16.994427,0.0,-613.21405,400.49707,503.89023,-154.62288
14,0.9,-0.43756458,-0.28758958,7.0425324,4.2108135,5.189905,0.0,0.6785157,-1.2080554,-7.460393,-12.515555,-14.068109,0.0,-445.74796,405.3337,687.6943,-53.990284
15,0.96,-0.3883413,-0.36330608,6.573527,3.56131,4.8211465,0.0,0.9669218,-1.3038039,-8.173581,-11.800305,-12.451647,0.0,-412.9881,333.29,314.6227,-68.19879
16,1.02,-0.31542632,-0.44244814,6.0631413,2.9308622,4.1606607,0.0,1.4679741,-1.3225353,-8.795926,-12.546607,-11.794967,0.0,-468.07437,348.5472,456.83765,-111.465996
17,1.08,-0.21825589,-0.52279454,5.522045,2.1806235,3.577804,0.0,1.7453707,-1.3779172,-9.214156,-12.471748,-10.994288,0.0,-402.36832,301.60046,390.21506,-70.9107
18,1.14,-0.11099036,-0.60958177,4.957115,1.5208625,3.0566435,0.0,1.8125259,-1.5407501,-9.621939,-11.807303,-10.147173,0.0,-333.78424,248.19342,313.467,-28.971096
19,1.2,-0.0026056196,-0.7063235,4.365097,0.99413306,2.606076,0.0,1.7974794,-1.6796625,-10.125801,-10.829019,-9.236716,0.0,-263.1818,203.8349,238.22226,6.794776
20,1.26,0.10614006,-0.8092031,3.740779,0.5563981,2.2118363,0.0,1.8327974,-1.7513431,-10.701211,-9.766458,-8.320254,0.0,-199.34027,170.58818,173.43332,31.278915
21,1.32,0.21805806,-0.9161684,3.0784314,0.16552599,1.8612014,0.0,1.889671,-1.8110528,-11.397989,-8.748557,-7.438429,0.0,-140.81914,146.72864,119.47027,46.29538
22,1.38,0.33197418,-1.0254219,2.3713646,6.0842223,1.543972,0.0,1.8982338,-1.8230925,-12.173862,-7.8302946,-6.619886,0.0,-84.30253,129.75632,72.93886,54.593655
23,1.44,0.43766,-1.134151,1.6171023,5.8044095,2.2201672,0.0,1.6500015,-1.7933818,-12.988217,-6.824989,-4.145776,0.0,-246.46231,456.23734,165.43791,-214.51248
24,1.5,0.5240976,-1.2373028,0.8073651,5.395001,2.0479543,0.0,1.2091137,-1.6391592,-13.994585,-6.9537506,-4.887391,0.0,-495.3213,415.41916,431.53357,-361.704
25,1.56,0.58096635,-1.3316914,0.0,4.9777007,1.8373313,0.0,0.67028344,-1.5158623,-14.930304,-6.95748,-4.2426257,0.0,-410.9139,441.1839,429.00174,-369.6597
